# PDB,Heme,ligand,saddling
101m,HEM_A_155,HIS-NBN,0.288
102m,HEM_A_155,HIS-HOH,0.099
103m,HEM_A_155,HIS-NBN,0.320
104m,HEM_A_155,HIS-NBN,0.151
105m,HEM_A_155,HIS-NBN,0.150
106m,HEM_A_155,HIS-ENC,0.255
107m,HEM_A_155,HIS-NBN,0.333
108m,HEM_A_155,HIS-NBN,0.070
109m,HEM_A_155,HIS-ENC,0.233
110m,HEM_A_155,HIS-MNC,0.212
111m,HEM_A_155,HIS-NBN,0.164
112m,HEM_A_155,HIS-NPN,0.172
155c,HEM_A_135,HIS-MET,0.139
19hc,HEM_A_301,HIS-HIS,-0.201
19hc,HEM_A_302,HIS-HIS,0.204
19hc,HEM_A_303,HIS-HIS,0.456
19hc,HEM_A_304,HIS-HIS,-0.010
19hc,HEM_A_305,HIS-HIS,-0.549
19hc,HEM_A_306,HIS-HIS,-0.307
19hc,HEM_A_307,HIS-HIS,-0.034
19hc,HEM_A_308,HIS-HIS,0.099
19hc,HEM_A_309,HIS-HIS,-0.075
19hc,HEM_B_301,HIS-HIS,-0.242
19hc,HEM_B_302,HIS-HIS,0.357
19hc,HEM_B_303,HIS-HIS,0.552
19hc,HEM_B_304,HIS-HIS,0.025
19hc,HEM_B_305,HIS-HIS,-0.535
19hc,HEM_B_306,HIS-HIS,-0.387
19hc,HEM_B_307,HIS-HIS,-0.428
19hc,HEM_B_308,HIS-HIS,0.184
19hc,HEM_B_309,HIS-HIS,0.063
1a00,HEM_A_142,HIS,0.111
1a00,HEM_B_147,HIS,0.429
1a00,HEM_C_142,HIS,0.293
1a00,HEM_D_147,HIS,0.220
1a01,HEM_A_142,HIS,0.207
1a01,HEM_B_147,HIS,0.283
1a01,HEM_C_142,HIS,0.185
1a01,HEM_D_147,HIS,0.284
1a0u,HEM_A_142,HIS,0.085
1a0u,HEM_B_147,HIS,0.437
1a0u,HEM_C_142,HIS,0.233
1a0u,HEM_D_147,HIS,0.431
1a0z,HEM_A_142,HIS,0.133
1a0z,HEM_B_147,HIS,0.466
1a0z,HEM_C_142,HIS,0.279
1a0z,HEM_D_147,HIS,0.311
1a2f,HEM_A_1,HIS-HOH,-0.605
1a2g,HEM_A_1,HIS-HOH,-0.617
1a3n,HEM_A_142,HIS,0.090
1a3n,HEM_B_147,HIS,0.428
1a3n,HEM_C_142,HIS,0.092
1a3n,HEM_D_147,HIS,0.291
1a3o,HEM_A_142,HIS,0.080
1a3o,HEM_B_147,HIS,0.363
1a3o,HEM_C_142,HIS,0.118
1a3o,HEM_D_147,HIS,0.334
1a4e,HEM_A_503,TYR-AZI,-0.064
1a4e,HEM_B_503,TYR-AZI,-0.023
1a4e,HEM_C_503,TYR-AZI,-0.041
1a4e,HEM_D_503,TYR-AZI,-0.062
1a4f,HEM_A_150,HIS-OXY,-0.018
